ip,hostname
127.0.0.1:8081,news.blueteam1.defense.hitcon
127.0.0.1:8081,news.blueteam2.defense.hitcon
127.0.0.1:8081,news.blueteam3.defense.hitcon
127.0.0.1:8081,news.blueteam4.defense.hitcon
127.0.0.1:8081,news.blueteam5.defense.hitcon
127.0.0.1:8081,news.blueteam6.defense.hitcon
