ip,hostname
127.0.0.1:8081,blog.blueteam1.defense.hitcon
127.0.0.1:8081,blog.blueteam2.defense.hitcon
127.0.0.1:8081,blog.blueteam3.defense.hitcon
127.0.0.1:8081,blog.blueteam4.defense.hitcon
127.0.0.1:8081,blog.blueteam5.defense.hitcon
127.0.0.1:8081,blog.blueteam6.defense.hitcon
