ip,hostname
127.0.0.1:8081,stack.blueteam1.defense.hitcon
127.0.0.1:8081,stack.blueteam2.defense.hitcon
127.0.0.1:8081,stack.blueteam3.defense.hitcon
127.0.0.1:8081,stack.blueteam4.defense.hitcon
127.0.0.1:8081,stack.blueteam5.defense.hitcon
127.0.0.1:8081,stack.blueteam6.defense.hitcon
