ip,hostname
127.0.0.1:8081,exchange.blueteam1.defense.hitcon
127.0.0.1:8081,exchange.blueteam2.defense.hitcon
127.0.0.1:8081,exchange.blueteam3.defense.hitcon
127.0.0.1:8081,exchange.blueteam4.defense.hitcon
127.0.0.1:8081,exchange.blueteam5.defense.hitcon
127.0.0.1:8081,exchange.blueteam6.defense.hitcon
