ip,hostname
127.0.0.1:8081,oa.blueteam1.defense.hitcon
127.0.0.1:8081,oa.blueteam2.defense.hitcon
127.0.0.1:8081,oa.blueteam3.defense.hitcon
127.0.0.1:8081,oa.blueteam4.defense.hitcon
127.0.0.1:8081,oa.blueteam5.defense.hitcon
127.0.0.1:8081,oa.blueteam6.defense.hitcon
